symbol;available_exchanges;currency_base;currency_quote
"ARK/USD";"[""Synthetic""]";"Ark";"US Dollar"
"ARN/USD";"[""Synthetic""]";"Aeron";"US Dollar"
"ARPA/BTC";"[""Binance""]";"ARPA Chain";"Bitcoin"
"ARPA/USD";"[""Binance""]";"ARPA Chain";"US Dollar"
"ART/USD";"[""Synthetic""]";"Maecenas";"US Dollar"
"AR/USD";"[""Binance"",""Huobi""]";"Arweave";"US Dollar"
"ARV/USD";"[""ProBit Exchange""]";"Ariva";"US Dollar"
"ASN/USD";"[""Synthetic""]";"Aseancoin";"US Dollar"
"ASTRO/USD";"[""Synthetic""]";"Astro";"US Dollar"
"ASTR/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Astar";"US Dollar"
"ATA/BTC";"[""Binance""]";"Automata Network";"Bitcoin"
"ATA/USD";"[""Binance""]";"Automata Network";"US Dollar"
"ATB/USD";"[""YoBit""]";"ATBCoin";"US Dollar"
"ATLAS/USD";"[""Gate.io""]";"Star Atlas";"US Dollar"
"ATL/BTC";"[""YoBit""]";"ATLANT";"Bitcoin"
"ATL/USD";"[""Synthetic""]";"ATLANT";"US Dollar"
"ATMS/USD";"[""Synthetic""]";"Atmos";"US Dollar"
"ATOM/BTC";"[""Binance""]";"Cosmos";"Bitcoin"
"ATOM/CAD";"[""Synthetic""]";"Cosmos";"Canadian Dollar"
"ATOMc/USD";"[""Synthetic""]";"Atomic Coin";"US Dollar"
"ATOM/EUR";"[""Kraken""]";"Cosmos";"Euro"
"ATOM/INR";"[""Bitbns""]";"Cosmos";"Indian Rupee"
"ATOM/TRY";"[""BTCTurk"",""Paribu""]";"Cosmos";"Turkish Lira"
"ATOM/USD";"[""Binance"",""OKEx""]";"Cosmos";"US Dollar"
"ATS/USD";"[""Synthetic""]";"Authorship";"US Dollar"
"ATXN/USD";"[""Synthetic""]";"Aston";"US Dollar"
"AUDIO/BTC";"[""Binance""]";"Audius";"Bitcoin"
"AUDIO/EUR";"[""BitStamp""]";"Audius";"Euro"
"AUDIO/USD";"[""Binance""]";"Audius";"US Dollar"
"AURA/USD";"[""Synthetic""]";"Aurora-DAO";"US Dollar"
