symbol;available_exchanges;currency_base;currency_quote
"ETH/XAU";"[""Synthetic""]";"Ethereum";"Gold Spot"
"ETH/ZAR";"[""Luno"",""Synthetic""]";"Ethereum";"South African Rand"
"ETT/USD";"[""Synthetic""]";"EncryptoTel [WAVES]";"US Dollar"
"EUC/USD";"[""Synthetic""]";"Eurocoin";"US Dollar"
"EUL/USD";"[""Gate.io""]";"Euler";"US Dollar"
"EURC/USD";"[""Coinbase Pro""]";"EURC";"US Dollar"
"EURE/USD";"[""Uniswap""]";"Monerium EUR emoney";"US Dollar"
"EURS/USD";"[""HitBTC""]";"STASIS EURO";"US Dollar"
"EUSD/USD";"[""Synthetic""]";"eUSD";"US Dollar"
"EVC/USD";"[""Synthetic""]";"EventChain";"US Dollar"
"EVIL/BTC";"[""YoBit""]";"Evil Coin";"Bitcoin"
"EVIL/USD";"[""Synthetic""]";"Evil Coin";"US Dollar"
"EVNN/USD";"[""Synthetic""]";"EvenCoin";"US Dollar"
"EVO/USD";"[""Synthetic""]";"Evotion";"US Dollar"
"EWT/BTC";"[""Kucoin""]";"Energy Web Token";"Bitcoin"
"EWT/USD";"[""Kraken"",""Kucoin""]";"Energy Web Token";"US Dollar"
"EXCL/USD";"[""Synthetic""]";"ExclusiveCoin";"US Dollar"
"EXC/USD";"[""Synthetic""]";"Eximchain";"US Dollar"
"EXMR/USD";"[""Synthetic""]";"EXMR";"US Dollar"
"EXP/BTC";"[""YoBit""]";"Expanse";"Bitcoin"
"EXP/USD";"[""Synthetic""]";"Expanse";"US Dollar"
"FAIR/USD";"[""Synthetic""]";"FairCoin";"US Dollar"
"FARTCOIN/USDT";"[""Gate.io""]";"Fartcoin";"US Dollar"
"FBTC/USD";"[""Uniswap""]";"Ignition";"US Dollar"
"FCN/USD";"[""Synthetic""]";"Fantomcoin";"US Dollar"
"FC/USD";"[""Synthetic""]";"Facecoin";"US Dollar"
"FDUSD/USD";"[""Binance""]";"First Digital USD";"US Dollar"
"FDZ/USD";"[""Synthetic""]";"Friendz";"US Dollar"
"FEI/USD";"[""Gate.io""]";"Fei USD";"US Dollar"
"FET/BNB";"[""Binance""]";"Fetch";"Binance Coin"
"FET/BTC";"[""Binance"",""Kucoin""]";"Fetch";"Bitcoin"
"FET/ETH";"[""Kucoin""]";"Fetch";"Ethereum"
"FET/USD";"[""Binance"",""BitMax""]";"Fetch";"US Dollar"
"FIDYO/USD";"[""Synthetic""]";"Fidyo";"US Dollar"
"FIL/BTC";"[""Binance"",""Coinbase Pro""]";"Filecoin";"Bitcoin"
"FIL/CAD";"[""Synthetic""]";"Filecoin";"Canadian Dollar"
"FIL/EUR";"[""Coinbase Pro"",""Kraken""]";"Filecoin";"Euro"
"FIL/INR";"[""Bitbns""]";"Filecoin";"Indian Rupee"
"FIL/USD";"[""Binance"",""Gate.io""]";"Filecoin";"US Dollar"
"FINE/USD";"[""Gate.io""]";"Refinable";"US Dollar"
"FIO/USD";"[""BitMax""]";"FIO Protocol";"US Dollar"
"FIRE/USD";"[""Synthetic""]";"Firecoin";"US Dollar"
"FIRO/USD";"[""MEXC"",""Synthetic""]";"Firo";"US Dollar"
"FITFI/USD";"[""Gate.io"",""Huobi"",""Kucoin""]";"Step App";"US Dollar"
"FLAX/USD";"[""Synthetic""]";"Flaxscript";"US Dollar"
"FLDC/USD";"[""Synthetic""]";"FoldingCoin";"US Dollar"
"FLIK/USD";"[""Synthetic""]";"FLiK";"US Dollar"
"FLM/USD";"[""Synthetic""]";"FolmCoin";"US Dollar"
"FLOKI/USDT";"[""Binance""]";"FLOKI";"US Dollar"
"FLOW/BTC";"[""Upbit""]";"Flow";"Bitcoin"
"FLOW/CAD";"[""Synthetic""]";"Flow";"Canadian Dollar"
"FLOW/USD";"[""Binance"",""Gate.io"",""Huobi"",""Kraken""]";"Flow";"US Dollar"
"FLUX/BTC";"[""Binance""]";"Flux";"Bitcoin"
"FLUX/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Flux";"US Dollar"
"FLUZ/USD";"[""Synthetic""]";"Fluz Fluz";"US Dollar"
"FLY/USD";"[""Synthetic""]";"Flycoin";"US Dollar"
"FNC/USD";"[""Synthetic""]";"FinCoin";"US Dollar"
"FNKOS/USD";"[""Synthetic""]";"FNKOS";"US Dollar"
"FNTB/USD";"[""Synthetic""]";"FinTab";"US Dollar"
"FONZ/USD";"[""Synthetic""]";"Fonziecoin";"US Dollar"
"FOR/USD";"[""Synthetic""]";"FORCE";"US Dollar"
"FRAX/USD";"[""Uniswap""]";"FRAX";"US Dollar"
"FRC/BTC";"[""FreiExchange""]";"Freicoin";"Bitcoin"
"FRC/USD";"[""Synthetic""]";"Freicoin";"US Dollar"
"FRD/USD";"[""Synthetic""]";"Farad";"US Dollar"
"FRK/USD";"[""Synthetic""]";"Franko";"US Dollar"
"FRN/BTC";"[""YoBit""]";"Francs";"Bitcoin"
"FRN/USD";"[""Synthetic""]";"Francs";"US Dollar"
"FRST/BTC";"[""YoBit""]";"FirstCoin";"Bitcoin"
"FRST/ETH";"[""YoBit""]";"FirstCoin";"Ethereum"
"FRST/USD";"[""Synthetic""]";"FirstCoin";"US Dollar"
"FST/USD";"[""Synthetic""]";"Fastcoin";"US Dollar"
"FTC/USD";"[""Synthetic""]";"Feathercoin";"US Dollar"
"FTO/BTC";"[""YoBit""]";"FuturoCoin";"Bitcoin"
"FTO/ETH";"[""YoBit""]";"FuturoCoin";"Ethereum"
"FTO/RUB";"[""YoBit""]";"FuturoCoin";"Russian Ruble"
"FTO/USD";"[""YoBit""]";"FuturoCoin";"US Dollar"
"FTO/WAVES";"[""YoBit""]";"FuturoCoin";"Waves"
"FTT/CAD";"[""Synthetic""]";"FTX Token";"Canadian Dollar"
"FTT/INR";"[""Bitbns""]";"FTX Token";"Indian Rupee"
"FTT/USD";"[""Binance"",""Huobi""]";"FTX Token";"US Dollar"
"FT/USD";"[""Synthetic""]";"Fabric Token";"US Dollar"
"FUCK/USD";"[""Synthetic""]";"FuckToken";"US Dollar"
"FUEL/USD";"[""Gate.io""]";"Etherparty";"US Dollar"
"FUN/ETH";"[""Bitrue""]";"FunFair";"Ethereum"
"FUNK/USD";"[""Synthetic""]";"The Cypherfunks";"US Dollar"
"FUN/USD";"[""Gate.io"",""HitBTC""]";"FunFair";"US Dollar"
"FUZZ/BTC";"[""YoBit""]";"FuzzBalls";"Bitcoin"
"FUZZ/USD";"[""Synthetic""]";"FuzzBalls";"US Dollar"
"FXC/USD";"[""Synthetic""]";"Flexacoin";"US Dollar"
"FXS/USD";"[""Binance"",""KuCoin""]";"Frax Share";"US Dollar"
"FX/USD";"[""Synthetic""]";"Function X";"US Dollar"
"FYP/USD";"[""Synthetic""]";"FlypMe";"US Dollar"
"GALA/BRL";"[""Binance"",""NovaDAX""]";"Gala";"Brazil Real"
"GALA/BTC";"[""Binance""]";"Gala";"Bitcoin"
"GALA/CAD";"[""Synthetic""]";"Gala";"Canadian Dollar"
"GALA/TRY";"[""Binance""]";"Gala";"Turkish Lira"
"GALA/USD";"[""Binance"",""Gate.io"",""Kucoin""]";"Gala";"US Dollar"
"GAME/PLN";"[""BitBay""]";"GameCredits";"Polish Zloty"
"GAM/USD";"[""Synthetic""]";"Gambit";"US Dollar"
"GAP/USD";"[""Synthetic""]";"Gapcoin";"US Dollar"
"GAS/BTC";"[""Binance""]";"Gas";"Bitcoin"
"GAS/USD";"[""Gate.io"",""OKEx""]";"Gas";"US Dollar"
"GB/BTC";"[""YoBit""]";"GoldBlocks";"Bitcoin"
"GB/USD";"[""Synthetic""]";"GoldBlocks";"US Dollar"
"GBX/USD";"[""Synthetic""]";"GoByte";"US Dollar"
"GBYTE/USD";"[""Synthetic""]";"Obyte";"US Dollar"
"GCC/USD";"[""Synthetic""]";"GuccioneCoin";"US Dollar"
"GCN/USD";"[""Synthetic""]";"GCN Coin";"US Dollar"
"GEN/USD";"[""Synthetic""]";"DAOstack";"US Dollar"
"GIGA/USDT";"[""Binance""]";"Gigachad";"US Dollar"
"GIM/USD";"[""Synthetic""]";"Gimli";"US Dollar"
"GIN/USD";"[""Synthetic""]";"GINcoin";"US Dollar"
"GLMR/BTC";"[""Binance""]";"Moonbeam";"Bitcoin"
"GLMR/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Moonbeam";"US Dollar"
"GLS/USD";"[""Synthetic""]";"GlassCoin";"US Dollar"
"GML/USD";"[""Synthetic""]";"GameLeagueCoin";"US Dollar"
"GMTn/BTC";"[""Binance""]";"STEPN";"Bitcoin"
"GMTn/USD";"[""Binance"",""Gate.io""]";"STEPN";"US Dollar"
"GMT/USD";"[""Synthetic""]";"Mercury Protocol";"US Dollar"
"GMX/USD";"[""Crypto.com Exchange""]";"GMX";"US Dollar"
"GMX/USD";"[""Binance""]";"GoldMaxCoin";"US Dollar"
"GNO/CAD";"[""Synthetic""]";"Gnosis";"Canadian Dollar"
"GNO/EUR";"[""Kraken""]";"Gnosis";"Euro"
"GNO/USD";"[""Binance"",""Huobi"",""Kraken""]";"Gnosis";"US Dollar"
"GNS/USD";"[""Binance""]";"Gains Network";"US Dollar"
"GNT/AUD";"[""Synthetic""]";"Golem";"Australian Dollar"
"GNT/BTC";"[""Binance""]";"Golem";"Bitcoin"
"GNT/INR";"[""Bitbns""]";"Golem";"Indian Rupee"
"GNT/KRW";"[""Bithumb"",""Upbit""]";"Golem";"Korean Won"
"GNT/USD";"[""Gate.io"",""Huobi""]";"Golem";"US Dollar"
"GOD/BTC";"[""YoBit""]";"Bitcoin God";"Bitcoin"
"GOLF/USD";"[""Synthetic""]";"Golfcoin";"US Dollar"
"GOT/USD";"[""Synthetic""]";"GoNetwork";"US Dollar"
"GP/USD";"[""Synthetic""]";"GoldPieces";"US Dollar"
"GRC/USD";"[""Synthetic""]";"GridCoin";"US Dollar"
"GRIN/USD";"[""Gate.io""]";"Grin";"US Dollar"
"GRS/KRW";"[""Upbit""]";"Groestlcoin";"Korean Won"
"GRS/USD";"[""Synthetic""]";"Groestlcoin";"US Dollar"
"GRT/BTC";"[""Binance""]";"The Graph";"Bitcoin"
"GRT/CAD";"[""Synthetic""]";"The Graph";"Canadian Dollar"
"GRT/EUR";"[""Binance"",""Coinbase Pro"",""Kraken""]";"The Graph";"Euro"
"GRT/INR";"[""Bitbns""]";"The Graph";"Indian Rupee"
"GRT/USD";"[""Binance"",""Coinbase Pro"",""Huobi""]";"The Graph";"US Dollar"
"GRV/USD";"[""Synthetic""]";"Gravium";"US Dollar"
"GRWI/USD";"[""Synthetic""]";"Growers International";"US Dollar"
"GRX/USD";"[""Synthetic""]";"GOLD Reward Token";"US Dollar"
"GSC/USD";"[""Synthetic""]";"Global Social Chain";"US Dollar"
"GSR/BTC";"[""YoBit""]";"GeyserCoin";"Bitcoin"
"GSR/USD";"[""Synthetic""]";"GeyserCoin";"US Dollar"
"GST/USD";"[""Coinbase Pro"",""Gate.io"",""Kucoin""]";"Green Satoshi Token (SOL)";"US Dollar"
"GT/BTC";"[""Gate.io""]";"GateToken";"Bitcoin"
"GT/CAD";"[""Synthetic""]";"GateToken";"Canadian Dollar"
"GTC/USD";"[""Gate.io"",""Synthetic""]";"Global Tour Coin";"US Dollar"
"GT/ETH";"[""Gate.io""]";"GateToken";"Ethereum"
"GT/USD";"[""Gate.io"",""Huobi""]";"GateToken";"US Dollar"
"GUP/USD";"[""Synthetic""]";"Matchpool";"US Dollar"
"GVT/USD";"[""Synthetic""]";"Genesis Vision";"US Dollar"
"GXS/USD";"[""Synthetic""]";"GXChain";"US Dollar"
"HAC/USD";"[""Synthetic""]";"Hackspace Capital";"US Dollar"
"HALLO/USD";"[""Synthetic""]";"Halloween Coin";"US Dollar"
"HBAR/BNB";"[""Binance""]";"Hedera Hashgraph";"Binance Coin"
"HBAR/BTC";"[""Binance""]";"Hedera Hashgraph";"Bitcoin"
"HBAR/INR";"[""Bitbns""]";"Hedera Hashgraph";"Indian Rupee"
"HBAR/KRW";"[""Upbit""]";"Hedera Hashgraph";"Korean Won"
"HBAR/USD";"[""Binance"",""OKEx""]";"Hedera Hashgraph";"US Dollar"
"HBC/USD";"[""Synthetic""]";"HomeBlockCoin";"US Dollar"
"HC/USD";"[""Synthetic""]";"Harvest Masternode Coin";"US Dollar"
"HDG/BTC";"[""YoBit""]";"Hedge";"Bitcoin"
"HDG/ETH";"[""YoBit""]";"Hedge";"Ethereum"
"HDG/USD";"[""YoBit""]";"Hedge";"US Dollar"
"HELP/USD";"[""Synthetic""]";"Helpico";"US Dollar"
"HEROm/USD";"[""Gate.io""]";"Metahero";"US Dollar"
"HER/USD";"[""Synthetic""]";"HeroNode";"US Dollar"
"HGT/USD";"[""Synthetic""]";"HelloGold";"US Dollar"
"HKN/USD";"[""Synthetic""]";"Hacken";"US Dollar"
"HMQ/USD";"[""Synthetic""]";"Humaniq";"US Dollar"
"HMSTR/USDT";"[""Binance""]";"Hamster Kombat";"US Dollar"
"HNT/BRL";"[""Synthetic""]";"Helium";"Brazil Real"
"HNT/CAD";"[""Synthetic""]";"Helium";"Canadian Dollar"
"HNT/USD";"[""Gate.io""]";"Helium";"US Dollar"
"HODL/USD";"[""Synthetic""]";"HOdlcoin";"US Dollar"
"HOT/CAD";"[""Synthetic""]";"Holo";"Canadian Dollar"
"HOT/ETH";"[""Binance"",""Bitrue""]";"Holo";"Ethereum"
"HOT/TRY";"[""Binance"",""Paribu""]";"Holo";"Turkish Lira"
"HOT/USD";"[""BigONE"",""Binance"",""Bitrue""]";"Holo";"US Dollar"
"HST/USD";"[""Synthetic""]";"Decision Token";"US Dollar"
"HTR/USD";"[""Gate.io"",""KuCoin""]";"Hathor";"US Dollar"
"HT/USD";"[""Gate.io""]";"Huobi Token";"US Dollar"
"HUC/USD";"[""Synthetic""]";"HunterCoin";"US Dollar"
"HVCO/BTC";"[""YoBit""]";"High Voltage";"Bitcoin"
"HVCO/USD";"[""Synthetic""]";"High Voltage";"US Dollar"
"HVN/USD";"[""Synthetic""]";"Hiveterminal Token";"US Dollar"
"HXX/USD";"[""Synthetic""]";"Hexx";"US Dollar"
"HYDRO/USD";"[""Synthetic""]";"Hydro";"US Dollar"
"HYPER/USD";"[""Synthetic""]";"Hyper";"US Dollar"
"HYPE/USDT";"[""Kucoin""]";"Hyperliquid";"US Dollar"
"HYP/USD";"[""Synthetic""]";"HyperStake";"US Dollar"
"HYTV/USD";"[""Synthetic""]";"Hyper TV";"US Dollar"
"I0C/USD";"[""Synthetic""]";"I0Coin";"US Dollar"
"IBANK/BTC";"[""YoBit""]";"iBank";"Bitcoin"
"IBANK/USD";"[""Synthetic""]";"iBank";"US Dollar"
"ICE/USD";"[""Synthetic""]";"iDice";"US Dollar"
"ICOB/USD";"[""Synthetic""]";"ICOBID";"US Dollar"
"ICOM/EUR";"[""Synthetic""]";"iCommunity Labs";"Euro"
"ICOM/USD";"[""ProBit Exchange""]";"iCommunity Labs";"US Dollar"
"ICON/BTC";"[""YoBit""]";"Iconic";"Bitcoin"
"ICON/USD";"[""Synthetic""]";"Iconic";"US Dollar"
"ICOS/USD";"[""Synthetic""]";"ICOS";"US Dollar"
"ICP/BRL";"[""Synthetic""]";"Internet Computer";"Brazil Real"
"ICP/BTC";"[""Binance"",""Coinbase Pro""]";"Internet Computer";"Bitcoin"
"ICP/CAD";"[""Synthetic""]";"Internet Computer";"Canadian Dollar"
"ICP/INR";"[""Bitbns""]";"Internet Computer";"Indian Rupee"
"ICP/USD";"[""Binance"",""Coinbase Pro"",""Huobi""]";"Internet Computer";"US Dollar"
"ICX/AUD";"[""Synthetic""]";"ICON";"Australian Dollar"
"ICX/BTC";"[""Binance"",""HitBTC""]";"ICON";"Bitcoin"
"ICX/CAD";"[""Synthetic""]";"ICON";"Canadian Dollar"
"ICX/CNY";"[""Synthetic""]";"ICON";"Chinese Yuan"
"ICX/EUR";"[""Synthetic""]";"ICON";"Euro"
"ICX/HKD";"[""Synthetic""]";"ICON";"Hong Kong Dollar"
"ICX/ILS";"[""Synthetic""]";"ICON";"Israeli Shekel"
"ICX/INR";"[""Synthetic""]";"ICON";"Indian Rupee"
"ICX/KRW";"[""Synthetic""]";"ICON";"Korean Won"
"ICX/MXN";"[""Synthetic""]";"ICON";"Mexican Peso"
"ICX/MYR";"[""Synthetic""]";"ICON";"Malaysian Ringgit"
"ICX/PLN";"[""Synthetic""]";"ICON";"Polish Zloty"
"ICX/RUB";"[""Synthetic""]";"ICON";"Russian Ruble"
"ICX/SAR";"[""Synthetic""]";"ICON";"Saudi Riyal"
"ICX/SEK";"[""Synthetic""]";"ICON";"Swedish Krona"
"ICX/TRY";"[""Synthetic""]";"ICON";"Turkish Lira"
"ICX/USD";"[""Binance"",""OKEx""]";"ICON";"US Dollar"
"ICX/VND";"[""Synthetic""]";"ICON";"Vietnamese Dong"
"ICX/ZAR";"[""Synthetic""]";"ICON";"South African Rand"
"IETH/BTC";"[""YoBit""]";"iEthereum";"Bitcoin"
"IETH/ETH";"[""YoBit""]";"iEthereum";"Ethereum"
"IETH/USD";"[""YoBit""]";"iEthereum";"US Dollar"
"IFLT/USD";"[""YoBit""]";"InflationCoin";"US Dollar"
"IFT/USD";"[""Synthetic""]";"InvestFeed";"US Dollar"
"IGNIS/USD";"[""Synthetic""]";"Ignis";"US Dollar"
"ILV/BTC";"[""Binance""]";"Illuvium";"Bitcoin"
"ILV/USD";"[""Binance""]";"Illuvium";"US Dollar"
"IMS/BTC";"[""YoBit""]";"Independent Money System ";"Bitcoin"
"IMS/USD";"[""Synthetic""]";"Independent Money System";"US Dollar"
"IMXm/USD";"[""Huobi""]";"Immutable X";"US Dollar"
"IMX/USD";"[""Binance""]";"Impact";"US Dollar"
"IND/BTC";"[""YoBit""]";"Indorse Token";"Bitcoin"
"IND/USD";"[""Synthetic""]";"Indorse Token";"US Dollar"
"INF/USD";"[""Synthetic""]";"InfChain";"US Dollar"
"INFX/USD";"[""Synthetic""]";"Influxcoin";"US Dollar"
"INJ/BTC";"[""Binance""]";"Injective Protocol";"Bitcoin"
"INJ/USD";"[""Binance""]";"Injective Protocol";"US Dollar"
"INK/USD";"[""Gate.io""]";"Ink";"US Dollar"
"INSN/USD";"[""Synthetic""]";"InsaneCoin";"US Dollar"
"INXT/USD";"[""Synthetic""]";"Internxt";"US Dollar"
"ION/USD";"[""Synthetic""]";"ION";"US Dollar"
"IOP/USD";"[""Synthetic""]";"Internet of People";"US Dollar"
"IOST/USD";"[""Binance"",""Huobi"",""OKEx""]";"IOST";"US Dollar"
"IOTA/AUD";"[""Synthetic""]";"IOTA";"Australian Dollar"
"IOTA/BRL";"[""NovaDAX""]";"IOTA";"Brazil Real"
"IOTA/BTC";"[""Binance"",""Bitfinex""]";"IOTA";"Bitcoin"
"IOTA/CAD";"[""Synthetic""]";"IOTA";"Canadian Dollar"
"IOTA/CNY";"[""Synthetic""]";"IOTA";"Chinese Yuan"
"IOTA/ETH";"[""Binance""]";"IOTA";"Ethereum"
"IOTA/EUR";"[""Synthetic""]";"IOTA";"Euro"
"IOTA/HKD";"[""Synthetic""]";"IOTA";"Hong Kong Dollar"
"IOTA/ILS";"[""Synthetic""]";"IOTA";"Israeli Shekel"
"IOTA/INR";"[""Synthetic""]";"IOTA";"Indian Rupee"
"IOTA/KRW";"[""Coinone""]";"IOTA";"Korean Won"
"IOTA/MXN";"[""Synthetic""]";"IOTA";"Mexican Peso"
"IOTA/MYR";"[""Synthetic""]";"IOTA";"Malaysian Ringgit"
"IOTA/PLN";"[""Synthetic""]";"IOTA";"Polish Zloty"
"IOTA/RUB";"[""Synthetic""]";"IOTA";"Russian Ruble"
"IOTA/SAR";"[""Synthetic""]";"IOTA";"Saudi Riyal"
"IOTA/SEK";"[""Synthetic""]";"IOTA";"Swedish Krona"
"IOTA/TRY";"[""Synthetic""]";"IOTA";"Turkish Lira"
"IOTA/USD";"[""Bitfinex"",""OKEx""]";"IOTA";"US Dollar"
"IOTA/VND";"[""Synthetic""]";"IOTA";"Vietnamese Dong"
"IOTA/ZAR";"[""Synthetic""]";"IOTA";"South African Rand"
"IOT/USD";"[""Binance"",""HitBTC""]";"IOTA";"US Dollar"
"IOTX/BTC";"[""Binance"",""Upbit""]";"IoTeX";"Bitcoin"
"IOTX/ETH";"[""Binance"",""Kucoin""]";"IoTeX";"Ethereum"
"IOTX/USD";"[""Binance"",""Gate.io"",""Synthetic""]";"IoTeX";"US Dollar"
"IQN/BTC";"[""YoBit""]";"IQeon";"Bitcoin"
"IQN/ETH";"[""YoBit""]";"IQeon";"Ethereum"
"IQN/USD";"[""YoBit""]";"IQeon";"US Dollar"
"IREX/USD";"[""Synthetic""]";"imbrex";"US Dollar"
"ISL/USD";"[""Synthetic""]";"IslaCoin";"US Dollar"
"ITI/USD";"[""Synthetic""]";"iTicoin";"US Dollar"
"IVY/USD";"[""Synthetic""]";"Ivy";"US Dollar"
"IVZ/USD";"[""Synthetic""]";"InvisibleCoin";"US Dollar"
"IXC/BTC";"[""YoBit""]";"Ixcoin";"Bitcoin"
"IXC/USD";"[""Synthetic""]";"Ixcoin";"US Dollar"
"JASMY/USD";"[""Coinbase Pro"",""Gate.io""]";"JasmyCoin";"US Dollar"
"JIN/USD";"[""Synthetic""]";"Jin Coin";"US Dollar"
"JNT/USD";"[""Synthetic""]";"Jibrel Network";"US Dollar"
"JOE/USD";"[""Binance""]";"JOE";"US Dollar"
"JSE/USD";"[""Synthetic""]";"JSECOIN";"US Dollar"
"KAVA/BTC";"[""Binance""]";"Kava.io";"Bitcoin"
"KAVA/CAD";"[""Synthetic""]";"Kava";"Canadian Dollar"
"KAVA/EUR";"[""Kraken""]";"Kava.io";"Euro"
"KAVA/USD";"[""Binance"",""Kraken"",""Kucoin""]";"Kava";"US Dollar"
"KCS/BTC";"[""Kucoin""]";"KuCoin Shares";"Bitcoin"
"KCS/ETH";"[""Kucoin""]";"KuCoin Shares";"Ethereum"
"KCS/USD";"[""Kucoin""]";"KuCoin Shares";"US Dollar"
"KDA/BTC";"[""Kucoin""]";"Kadena";"Bitcoin"
"KDA/USD";"[""Kucoin""]";"Kadena";"US Dollar"
"KED/USD";"[""Synthetic""]";"Darsek";"US Dollar"
"KEEP/TRY";"[""Paribu""]";"Keep Network";"Turkish Lira"
"KEEP/USD";"[""Kraken""]";"Keep Network";"US Dollar"
"KEK/USD";"[""Synthetic""]";"KekCoin";"US Dollar"
"KEY/USD";"[""Synthetic""]";"Selfkey";"US Dollar"
"KIN/CNY";"[""Synthetic""]";"Kin";"Chinese Yuan"
"KMD/USD";"[""Synthetic""]";"Komodo";"US Dollar"
"KNC/BTC";"[""Binance""]";"Kyber Network";"Bitcoin"
"KNC/KRW";"[""Bithumb"",""Upbit""]";"Kyber Network";"Korean Won"
"KNC/THB";"[""Bitkub""]";"Kyber Network";"Thai Baht"
"KNC/USD";"[""Binance"",""Gate.io"",""OKEx""]";"Kyber Network Crystal v2";"US Dollar"
"KOBO/BTC";"[""YoBit""]";"Kobocoin";"Bitcoin"
"KOBO/USD";"[""Synthetic""]";"Kobocoin";"US Dollar"
"KORE/USD";"[""Synthetic""]";"Kore";"US Dollar"
"KP3R/USD";"[""Gate.io""]";"Keep3rV1";"US Dollar"
"KSM/BTC";"[""Binance""]";"Kusama";"Bitcoin"
"KSM/EUR";"[""Kraken""]";"Kusama";"Euro"
"KSM/USD";"[""Binance"",""Huobi""]";"Kusama";"US Dollar"
"KUB/THB";"[""Bitkub""]";"Bitkub Coin";"Thai Baht"
"KUB/USD";"[""Synthetic""]";"Bitkub Coin";"US Dollar"
"KURT/BTC";"[""YoBit""]";"Kurrent";"Bitcoin"
"KURT/USD";"[""Synthetic""]";"Kurrent";"US Dollar"
"KUSH/USD";"[""Synthetic""]";"KushCoin";"US Dollar"
"LA/BTC";"[""LATOKEN""]";"LATOKEN";"Bitcoin"
"LANA/USD";"[""Synthetic""]";"LanaCoin";"US Dollar"
"LA/USD";"[""Synthetic""]";"LATOKEN";"US Dollar"
"LAZIO/TRY";"[""Binance""]";"S.S. Lazio Fan Token";"Turkish Lira"
"LAZIO/USD";"[""Binance""]";"S.S. Lazio Fan Token";"US Dollar"
"LCC/USD";"[""YoBit""]";"Litecoin Cash";"US Dollar"
"LCE/USD";"[""Synthetic""]";"LitecoinExtreme";"US Dollar"
"LCP/USD";"[""Synthetic""]";"Litecoin Plus";"US Dollar"
"LDC/USD";"[""Synthetic""]";"Leadcoin";"US Dollar"
"LDO/BTC";"[""Binance""]";"Lido DAO";"Bitcoin"
"LDOGE/USD";"[""Synthetic""]";"LiteDoge";"US Dollar"
"LDO/USD";"[""Binance"",""Gate.io""]";"Lido DAO";"US Dollar"
"LEOu/BTC";"[""Bitfinex""]";"UNUS SED LEO";"Bitcoin"
"LEOu/CAD";"[""Synthetic""]";"UNUS SED LEO";"Canadian Dollar"
"LEOu/ETH";"[""Bitfinex""]";"UNUS SED LEO";"Ethereum"
"LEOu/USD";"[""Bitfinex"",""Gate.io""]";"UNUS SED LEO";"US Dollar"
"LINK/BRL";"[""Binance"",""MercadoBitcoin""]";"Chainlink";"Brazil Real"
"LINK/BTC";"[""Binance""]";"Chainlink";"Bitcoin"
"LINK/CAD";"[""Synthetic""]";"Chainlink";"Canadian Dollar"
"LINK/ETH";"[""Binance"",""Bitrue""]";"Chainlink";"Ethereum"
"LINK/EUR";"[""Binance"",""Coinbase Pro"",""Kraken""]";"Chainlink";"Euro"
"LINK/TRY";"[""BTCTurk"",""Paribu""]";"Chainlink";"Turkish Lira"
"LINK/USD";"[""Binance"",""Huobi""]";"Chainlink";"US Dollar"
"LINK/XRP";"[""Bitrue""]";"Chainlink";"XRP"
"LINX/USD";"[""Synthetic""]";"Linx";"US Dollar"
"LION/USD";"[""Synthetic""]";"Lion Coin";"US Dollar"
"LIZA/BTC";"[""YoBit""]";"LIZA";"Bitcoin"
"LIZ/USD";"[""Synthetic""]";"Lizus";"US Dollar"
"LKK/USD";"[""Synthetic""]";"Lykke";"US Dollar"
"LMC/USD";"[""Synthetic""]";"LoMoCoin";"US Dollar"
"LND/USD";"[""Synthetic""]";"LendingBlock";"US Dollar"
"LNK/USD";"[""Synthetic""]";"Link Platform";"US Dollar"
"LOC/BTC";"[""YoBit""]";"LockTrip";"Bitcoin"
"LOC/DOGE";"[""YoBit""]";"LockTrip";"Dogecoin"
"LOC/RUB";"[""YoBit""]";"LockTrip";"Russian Ruble"
"LOC/USD";"[""YoBit""]";"LockTrip";"US Dollar"
"LOC/WAVES";"[""YoBit""]";"LockTrip";"Waves"
"LOOM/USD";"[""Synthetic""]";"Loom Network";"US Dollar"
"LOT/USD";"[""Synthetic""]";"LottoCoin";"US Dollar"
"LPC/USD";"[""Synthetic""]";"Lightpaycoin";"US Dollar"
"LPT/USD";"[""Binance"",""Coinbase Pro""]";"Livepeer";"US Dollar"
"LQTY/USD";"[""Huobi""]";"Liquity";"US Dollar"
"LRC/BTC";"[""Binance""]";"Loopring";"Bitcoin"
"LRC/ETH";"[""Binance""]";"Loopring";"Ethereum"
"LRC/EUR";"[""Kraken""]";"Loopring";"Euro"
"LRC/KRW";"[""Bithumb""]";"Loopring";"Korean Won"
"LRC/TRY";"[""Paribu""]";"Loopring";"Turkish Lira"
"LRC/USD";"[""Binance"",""Gate.io"",""OKEx""]";"Loopring";"US Dollar"
"LSK/AUD";"[""Synthetic""]";"Lisk";"Australian Dollar"
"LSK/BTC";"[""Binance""]";"Lisk";"Bitcoin"
"LSK/CAD";"[""Synthetic""]";"Lisk";"Canadian Dollar"
"LSK/CNY";"[""Synthetic""]";"Lisk";"Chinese Yuan"
"LSK/HKD";"[""Synthetic""]";"Lisk";"Hong Kong Dollar"
"LSK/ILS";"[""Synthetic""]";"Lisk";"Israeli Shekel"
